,vocab,meaning
5140,screen,1 n&v 粗筛；筛选（煤炭等）；甄别2 n 屏风；围屏
5141,category,n 类型，种类
5142,shield,v 防护；屏蔽  n 罩；屏；防御物
5143,primal,a 第一的，最初的，首位的，主要的；根本的
5144,repertory,n （尤指指示等的）贮藏，搜集；贮藏所
5145,adorn,v 装饰，修饰，佩戴
5146,democrat,n （D-）（美国）民主党党员
5147,technical,a 技术（性）的；专门（技术）的
5148,rattle,n 格格地响的东西
5149,synthesis,n 综合，合成
5150,encompass,v 包含
5151,jaw,n 颌，鄂
5152,zigzag,a 之字形的，锯齿形的，曲折的
5153,chlorophyll,n 叶绿素
5154,constitute,v 构成，组成
5155,inherent,a 内在的，固有的，生来的
5156,responsible,a 有责任的，应负责任的
5157,commonsense,a&n 常识（的）
5158,imply,v 暗示，包含；含有……的意思
5159,promote,v 增进；提倡，发扬，促进
5160,dictate,v 口述，听写；命令，支配，摆布
5161,niche,1 n 适当地位，活动范围2 n 壁龛（搁雕像、花瓶等的墙壁凹处）
5162,linear,a 线的，直线的
5163,rival,v 相匹敌；对抗，竞争
5164,adverse,a 逆的，相反的，不利的，有害的
5165,mud,n 泥，泥浆；泥淖
5166,rounded,1 a 圆形的；球形的2 a 多样的；多面的
5167,discharge,v 放出（水等）；释放；[电]放（电）
5168,equator,n 赤道
5169,predominant,a 掌握主权的；有力的，有效的
5170,peer,n 同辈，同事，伙伴；同等的人
5171,copper,n 铜
5172,net,1 n 网，网状物，网状组织，网状系统2 a 净的，纯的；基本的；最后的（[opp]gross）
5173,figure,1 n 画像，塑像2 n 人物
5174,tedious,a 单调沉闷的，令人生厌的，冗长乏味的
5175,gentle,a 文雅的，有礼貌的，柔和的，轻柔的
5176,abundant,a 丰富的，大量的
5177,fame,n 名声，声望
5178,prevail,v 胜，压倒，占优势；普遍；传开，盛行
5179,lizard,n 蜥蜴
5180,painstaking,a （不辞）劳苦的，费力的
5181,sympathy,n 同感，赞成；一致，协调；同情（心），怜悯
5182,tower,1 n 塔，楼塔；城堡2 v 高耸；胜过；（鹰等）翱翔
5183,immune,a 免疫（性）的
5184,vertical,a 垂直的，直立的，竖立的，纵的（[opp]horizontal）
5185,burden,n 担子，负担，包袱
5186,sheer,1 a 险峻的；陡峭的；垂直的2 a 绝对的；十足的；全然的
5187,mundane,a 世俗的；平凡的
5188,fashion,1 v 制造2 n 风气，潮流；时新式样
5189,felt,n 毛毡；毛布；毡制品；油毛毡
5190,inflation,n 膨胀；[经]通货膨胀（[opp]deflation）
5191,survival,n 生存；幸存；幸存者；成活（植株）
5192,cite,v 引用，举（例），列举
5193,replicate,v 复制，反复
5194,rental,a 租用的  n 租费
5195,penicillin,n 青霉素，盘尼西林
5196,flee,v （fled；fled）逃走（from；before）；逃避，逃出（from）
5197,enthusiasm,n 热心，热情；热烈
5198,forage,1 n 草料；饲料2 v 觅食
5199,regional,a 地方（性）的；地方主义的；区域（性）的；局部的
5200,propel,v 推，推进，驱使
5201,domain,n 领土；（学问、活动等的）领域，范围
5202,overall,1 a&ad 全部的（地），所有的（地），总的（地）2 n （套头）工作服，罩衫，（妇女、小儿等的）罩衣
5203,twine,1 v 捻，搓；织，编2 n 二股（以上的）线，细绳；麻线（绳）
5204,deter,v （-rred）防治，阻止
5205,hook,v 钩住；沉迷
5206,rope,n 绳索，麻索，索子
5207,well,1 v （使）涌出，（使）喷出，（使）流出2 n 井；油井
5208,shed,1 v 脱落；脱换；脱毛2 n 小屋；棚屋；堆房；库房
5209,treasure,n 财富，金银财宝，珍宝；珍藏，宝藏
5210,stroke,n 笔画
5211,exhaustion,n 疲惫，衰竭
5212,ichthyosaur,（[pl]ichthyosauria）[古生]鱼龙
5213,ritual,a&n 仪式（的），礼仪（的）；典礼（的）；宗教仪式（的）
5214,spark,1 n 火花；火星2 v 鼓舞，激励
5215,pervasive,a 普遍的；深入的
5216,aesthetic(al),a 审美的；美的，艺术的
5217,continuum,n （[pl]-ua）[哲]连续（统一体）
5218,ideal,a 理想的，典型的
5219,dramatic,a 戏剧性的，激动人心的，引人注目的
5220,opportunity,n 机会，好机会；凑巧，方便
5221,plow,n 犁；黎形器具
5222,butterfly,n 蝴蝶；蝶式，蝶形
5223,attribute,1 v 把（某事）归因于……；认为……属于2 n 属性，特质
5224,strength,n 力量，体力；强度，浓度；长处（[opp]weakness）
5225,hide,n 兽皮，皮革
5226,seriously,ad 严肃地；认真地；严重地
5227,superior,a 较高的，上级的，有优势的，出众的（[opp]inferior）
5228,soldier,n 军人；（陆军）士兵；战士
5229,connoisseur,n 艺术（品）的鉴定家，行家，内行，权威（in，of）
5230,luminous,a 发光的；明亮的；照耀着的；辉耀的
5231,alarm,n 警报；恐慌
5232,thereafter,ad 此后
5233,wagon,n （二马以上的四轮）运货马车
5234,eject,v 喷出，吐出（烟等）；发射，喷射
5235,escape,v 逃走，逃脱，逃逸；避免
5236,arise,v 出现；发生
5237,rent,n 裂缝，缝隙；（意见等的）分裂，分歧
5238,contact,n 接触；联系
5239,statistics,n 统计学，统计法；统计数字（资料）
5240,nitrogen,n 氮，氮气
5241,pendulum,n （钟等的）摆，动摇的人（物）；犹豫不决的人
5242,flame,n 火焰；光辉，光芒  v 燃烧
5243,garbage,n 垃圾，废物
5244,entrepreneur,n 企业家；创业人
5245,alloy,n 合金
5246,explode,v 使爆炸
5247,vision,1 n 视力，视觉2 n [不用冠词]先见，洞察
5248,dimension,n 尺寸；[数]维（数）；[pl]容积；面积；大小，规模，范围
5249,tavern,n 酒馆，小旅馆，客栈
5250,cone,n 圆锥；圆锥形火山；（松树的）球果
5251,memorable,a 可记忆的，难忘的
5252,rat,n 鼠（比mouse要大）
5253,equivalent,a&n 相当（的），相同（的），同等的（物）；等价的（物）
5254,cargo,n （船上的）货；负荷
5255,assume,1 v 假定，想象，设想；以……为先决条件2 v 承担，担任
5256,bodily,a 躯体的，身体的，肉体的
5257,coral,n 珊瑚；珊瑚虫
5258,per capita,每人，按人数分配的
5259,recycle,n&v （使）再循环；（使废物回收后）反复利用
5260,bias,n 成见，先入之见，偏执，偏见（[opp]impartiality）
5261,wren,n 鹪鹩（北美地区褐色的小鸟）
5262,tornado,n 大旋风，龙卷风
5263,fascinate,v 迷住，使神魂颠倒
5264,ornament,n 装饰，修饰；装饰物（品）  v 装饰，修饰；美化
5265,volatile,a 挥发（性）的
5266,exponent,1 n 典型2 n [数]指数；幂
5267,calcium,n 钙
5268,comet,n 彗星
5269,weather,v 使风化
5270,turtle,n 龟，海龟
5271,flake,n 薄片
5272,auditory,a 耳的，听觉的
5273,intimate,a 亲密的，亲近的，密切的
5274,tube,n 管，管道；管状地下隧道
5275,sensitive,a 敏感的，感觉灵敏的
5276,lucrative,a 有利的，赚钱的，合算的
5277,distract,v 分散（注意力等），岔开（念头等）（[opp]attract）
5278,compile,v 汇集，编辑
5279,illustrate,v （用例子、图解等）说明；举例证明
5280,elevate,v 举起，抬高（声音、炮口等）
5281,secrete,v 分泌
5282,relax,v 松弛，放松，休养，休息
5283,telescope,n 望远镜
5284,plot,n&v 密谋，图谋；策划
5285,mason,n 石匠；（中世纪的）工匠工会会员
5286,emit,v （-tt-）出（声），发、放（光等），发射，放射（热等）
5287,textile,n 纺织品；纺织原料  a 纺织（品）的
5288,pasture,n 牧场；草地
5289,observatory,n 气象台，天文台
5290,enroll,v 把……记入名簿；登记
5291,unlikely,a [后接不定式，可用作表语]不大可能的，不一定有把握的
5292,weed,n 杂草
5293,critic,n 批评家
5294,lighthouse,n 灯塔
5295,angle,n 角
5296,pine,n [植]松树；松木
5297,tip,1 n （塔、手指、尾巴等的）尖，尖端，末端2 v 倾斜；翻倒；翻
5298,temperate,a （气候等）温和的
5299,inspire,v 使生灵感，使感悟，使感动
5300,risk,n 风险，危险  v 冒险
5301,longing,a 渴望的，热望的  n 渴望
5302,union,n 工会
5303,approximately,ad 近似，约计
5304,sort,1 n 种类，类别，品种；种2 v 分类；整顿，整理
5305,assign,1 v 指定，选定2 v 把……归因于
5306,remainder,n 剩余物，残余  a 剩余的
5307,recover,1 v 重新获得（找到）（失传的技术等）（[opp]lose）2 v 恢复；痊愈（from；of），清醒（[opp]dateriorate）3 v 赔偿（损失等）；取得（损害、赔偿等）
5308,ultimate,a&n 最终（的），根本（的）
5309,brass,n （主[pl]）黄铜制品；铜管乐器
5310,foremost,a 最初的，最前的；第一流的；主要的
5311,streamline,v 把……做成流线型；调整（机构等）使现代化或提高效率
5312,sulfur,n 硫（磺）
5313,previous,a 先，前；以前的
5314,coat,1 v 包上，涂上，盖上2 n （动物的）毛皮；（植物的）表皮；（漆等的）涂层
5315,universal,1 a 一般的，普遍的2 a 宇宙的
5316,crystal,a&n （结）晶体（的）；水晶（制的）
5317,minutely,ad 详细地，精密地
5318,predator,n 捕食其他动物的动物，食肉动物
5319,tissue,n 组织
5320,parasite,n 寄生物；寄生虫；寄生菌；食客
5321,spare,1 v 使某人免遭（麻烦等）2 a 粗陋的；俭朴的
5322,stub,n 剩余部分；残留部分
5323,address,v 应付，处理（问题）
5324,periodic,a 周期的，定期的，定时的
5325,poison,n 毒；毒药
5326,ministry,n 牧师；部长的任务（职务、任期）；政府部门
5327,treat,1 v 对待，待遇；处置；处理2 n&v 探讨，论述
5328,straight,a 直的，一直线的；笔直的，直挺的
5329,beaver,n 海狸，海獭
5330,celebrated,a 驰名的，有名的，大名鼎鼎的
5331,mission,n 使命，任务，天职  v 给……交待任务；派遣
5332,realism,n 现实主义，现实性
5333,potassium,n 钾
5334,inhibit,v 抑制，阻止
5335,pyramid,n 金字塔
5336,Jupiter,n 木星；[罗神]（主神）朱庇特
5337,funnel,n 漏斗，漏斗形物
5338,title,1 n 标题，题目，题；篇名，书名2 n [律]土地财产所有权；地契
5339,renounce,v 抛弃，放弃，背弃
5340,requirement,n 要求，需要，必要条件，资格（for）
5341,beneficial,a 有利的，有益的（to）（[opp]injurious）
5342,sector,n 部分，地区，分区
5343,content,1 a 满足的，甘心的2 n 容量，含量3 n [pl]内容，内含物；（一本书的）目次；目录
5344,chunk,n 大块
5345,thwart,v 反对；阻挠；挫败（对方意图等）
5346,meteorologist,n 气象学家
5347,interval,n （时间、空间方面的）间隔
5348,generous,a 宽大的，慷慨的，大方的，丰盛的，丰富的
5349,twig,n 丫枝，细枝
5350,bubble,n 泡，水泡；气泡；泡沫
5351,fertile,1 a 肥沃的，丰饶的；多产的，丰富的（of；in）（[opp]sterile）2 a 能生育的，有繁殖能力的；已受孕（受精）的
5352,resin,n 树脂；松脂；树脂状沉淀物
5353,enhance,v 提高；增强
5354,sight,n 壮观；奇观；风景
5355,rank,1 v 把……分类，分等级2 v 并列；位于3 n 等级，地位
5356,shrimp,n 小虾；河虾
5357,ethic,n 伦理观，道德标准
5358,alternate,a 交替的，隔一的，间隔的
5359,tremendous,a 可怕的，惊人的；巨大的；非常的，<俚>极好的
5360,mechanism,n 机制，机能；（机械）结构；机械装置（作用）
5361,highlight,v 在……上投上强光；强调，使显著
5362,sustain,v 支撑，支持；补养；维持；使……持续
5363,fuel,n 燃料，柴炭  v （给……）加油
5364,moderate,a 中等的；适度的；有节制的
5365,republic,n 共和国；共和政体（[opp]monarchy）
5366,secondary,1 a 第二（位）的，第二次的；中级的2 a 副（的）；从属的；次要的
5367,beacon,n （作为信号的）烽火，灯塔
5368,cranial,a 颅的
5369,slightly,ad 有一点，略；轻微地，轻轻地（[opp]considerably）
5370,gallery,n 美术馆，美术品陈列室，画廊；回廊，走廊
5371,inability,n 无能，无力
5372,pigeon,n 鸽子
5373,zinc,n 锌（Zn）
5374,perishable,a 易腐败的；脆弱的
5375,edible,a 适合食用的，可以吃的（[opp]poisonous）
5376,dime,n （美、加）一角银币
5377,nostril,n 鼻孔；鼻孔内壁
5378,litter,1 n 枯枝层，落叶层；（兽类睡眠用的）褥草，垫圈2 n （猪等）同胎生下的小崽3 v 乱丢东西，乱丢废物（垃圾等）
5379,pure,a 纯的，纯粹的；清一色的（[opp]mixed）
5380,consume,v 消费，消耗
5381,majestic,a 有威严的，威风凛凛的
5382,fair,1 n 定期集市，庙会2 a 公平的，合理的
5383,lump,n 块，团  v 使成块，使成团
5384,testify,v 证明；证实
5385,cube,n 立方体（形）；三次幂
5386,calorie,n 卡（路里）（热量单位）
5387,ceremony,n 典礼，仪式
5388,carbon,n 碳
5389,produce,n 农产品
5390,propensity,n 倾向，嗜好，癖
5391,reap,1 v 收割，采收2 v 得到，获得
5392,utter,1 v 发出（声音等）；讲，说2 a 完全的，十足的
5393,adjunct,n 附属物，附件
5394,condense,v 压缩；使浓缩
5395,expose,v 使暴露；使曝光
5396,glue,n 胶，胶水，各种胶状物
5397,generalization,n 一般化，普遍化
5398,routine,n 例行公事，日常工作；常规；惯例  a 日常的，常规的
5399,molecular,a 分子的，由分子形成的
5400,shelf,1 n 架子2 n 大陆架
5401,porpoise,n 海豚
5402,exclusive,a 独有的，唯一的；专有的
5403,harm,n 损害，伤害；危害
5404,threat,1 n 凶兆，危险2 n 恐吓，威吓，威胁
5405,civic,a 城市的，市民的
5406,sensory,a 感觉（上）的；感官的；知觉器官的
5407,decline,n&v 下降；衰老
5408,conquer,v 征服；攻克
5409,wipe,v 擦去，消除（away；off；up）
5410,instant,a 立即的，直接的
5411,rearrange,v 重新整顿，重新布置，重新排列
5412,falcon,n 隼，（猎鹰的）母鹰
5413,anxiety,n 悬念，挂念，忧虑；切望，渴望
5414,scholar,n 学者，有文化的人
5415,smug,a 沾沾自喜的，自以为是的
5416,reservoir,1 n 贮水池，水库2 n （知识、精力等的）贮藏，积蓄
5417,repeat,v 反复，复述
5418,olfactory,a 嗅觉器官的，嗅觉的
5419,kerosene,n 煤油，火油
5420,prosper,v （使）兴隆，（使）繁荣；（使）成功
5421,meander,v 曲曲折折地流；蜿蜒，弯曲
5422,mention,n&v 说到，提及；提述；提名表扬
5423,elliptic(al),a 椭圆（形）的
5424,scarce,a 缺乏的，不足的；稀有的，罕见的
5425,rectangular,a 矩形的，长方形的；成直角的
5426,vault,n 拱顶，穹窿
5427,folk,a 民间的  n （folks）人们
5428,patent,n 专利（权）；专利品，特权
5429,squeeze,v 挤，压，塞
5430,vulnerable,a 脆弱的；易受责难（攻击、损坏）的
5431,thumb,n 拇指
5432,array,n 一大批，一大群，一连串
5433,reddish,a 带红色的，淡红的，微红的
5434,avenue,n （南北向）街道（东西向称street）
5435,reef,n 暗礁，礁脉
5436,crust,n 外皮，壳；地壳
5437,percentage,n [数]百分法；百分数；百分比；[商]手续费，佣金
5438,indispensable,a 不可缺少的，必需的，重要的
5439,alien,a&n 外来（的）；异己（的）；不熟悉（的）
5440,spider,n 蜘蛛
5441,doctrine,n （宗教、政治方面的）教旨，教条；教义
5442,tile,n 瓷砖，砖瓦  v 铺瓦，砌瓷砖
5443,dispute,n&v 辩论，争论；争吵；争端
5444,aggregate,a&n 聚集（的），集合（的），总计（的），共计（的）
5445,religion,n 宗教，宗派，信仰
5446,lipid,n 脂类
5447,notwithstanding,ad&conj&prep 虽然，尽管……仍……
5448,sieve,n （细眼）筛，过滤网  v 筛，筛选
5449,shock,n&v （使）震惊；（使）惊骇
5450,journal,n 日记，日志，航海日记
5451,execute,v 执行；履行；贯彻，完成
5452,nomadic,a 游牧的；流浪的
5453,sole,1 a 单独的，单一的，惟一的2 n 鞋底；脚底，袜底
5454,strict,a 严格的；严谨的；严密的
5455,tumble,n&v 打滚，翻滚
5456,swift,a 飞快的，迅速的，敏捷的（[opp]slow）
5457,vocal,a 声的，（关于）声音的  n [语音]元音
5458,rebel,n 造反者，反叛者；起义者，反抗者
5459,pitch,1 n 音高；音高标准2 n 沥青
5460,target,n 靶子，目标；对象  v 把……作为目标，瞄准
5461,reward,v 报答，酬劳，奖赏  n 酬金，报酬
5462,severe,a 严重的，严峻的；剧烈的
5463,inhabit,v 居住；栖息
5464,herd,n 兽群，（牛）群，（猪）群
5465,listless,a 冷淡的；懒洋洋的，无精打采的，倦怠的
5466,correspond,v 与……一致，符合（to；with）
5467,canoe,n 独木舟
5468,analogy,n 类比，相似
5469,meteorite,n 陨星，陨石
5470,humidity,n 湿气；湿度
5471,influx,n 流入，注入
5472,absorb,v 吸收
5473,crowd,n&v 拥挤
5474,conduct,1 v 实行；进行2 v 传导，传（热、电等）
5475,retire,1 v 退休，退职2 v 就寝；睡觉3 n 收回（纸币等）
5476,shaft,1 n 光线；电光2 n 隧道，管道
5477,urge,1 v 极力主张；强烈要求2 n 刺激，冲动，迫切要求
5478,ignorant,a 无学识的，无知的，愚昧的
5479,supervise,v 监督；管理
5480,harmonious,a 悦耳的，和谐的；融洽的；和睦的
5481,prominent,a 突出的；显著的；杰出的；卓越的
5482,utensil,n 器具，用具；家庭厨房用具
5483,strand,n （绳子的）股；一股绳子；纤维，绳，线；串
5484,smoke,n 烟，烟尘  v 用烟熏，熏制
5485,stroll,v 慢慢地走，散步，闲逛，游荡
5486,ridge,n 脊；脊背；山脊；分水岭
5487,plain,n 平地，平原，旷野
5488,splendid,a 杰出的，显著的，伟大的，名声赫赫的
5489,fluid,n 流体，液
5490,tape,n 磁带，狭带
5491,melody,n 旋律，曲调；好听的声音；歌曲
5492,outgoing,a 对人友好的；开朗的
5493,abuse,n&v 滥用，乱用
5494,vertebrate,a&n 脊椎动物（的）
5495,split,v 裂开，劈开；分离，分开  a 裂开的；分离的，分裂的
5496,camp,n 野营，露营地
5497,challenge,n 挑战
5498,mold,1 n 模子，铸型  v 浇铸，塑造2 n 霉；霉菌，霉病（又作：mould）
5499,mild,a 温和的，温良的，轻微的；适当的
5500,rear,1 a&n 后部（的），背面（的），屁股（[opp]front）2 v 抚养，教养
5501,deceive,v 欺，瞒
5502,bunch,n 球，束，朵，串
5503,rail,n 轨道；钢轨；铁路
5504,wax,n （蜂）蜡；蜡状物
5505,pull,v 拉，拖，牵，拽（[opp]push）
5506,hormone,n 荷尔蒙，激素，内分泌
5507,infect,v 传染；感染
5508,atheist,n 无神论者；不信神的人
5509,monument,n 纪念碑，纪念物，不朽的功业（著作）等
5510,provoke,v 触怒，使愤怒，成为……的原因，引起
5511,adobe,n 砖坯
5512,canal,n 运河；沟渠
5513,aquatic,a 水生的，水栖的
5514,giant,a 巨大的  n 巨人；巨兽
5515,barrier,n 栅栏，障碍；壁垒
5516,bizarre,a 稀奇古怪的，不同寻常的
5517,prison,n 监狱，拘留所；监禁，禁闭
5518,scavenger,n 食腐动物（指食腐物腐尸）
5519,various,a 不同的，各种各样的
5520,realize,1 v 领悟，了解，体会2 v 实现，实行（希望、计划等）
5521,commerce,n 商业；商务，贸易
5522,circumstance,n （常[pl]）（周围的）情况，情形，环境
5523,rift,n 断裂
5524,sanctuary,1 n 圣所，圣堂；礼拜堂，神殿2 n 禁猎期，禁猎区
5525,rhinoceros,n 犀牛
5526,subspecies,（[sing]，[pl]）n [生]亚种
5527,sum,v 合计，总计  n 总额；[数]和
5528,assemble,1 v 集合；聚集2 v 装配
5529,cavity,n 穴，腔，空腔
5530,recall,v （使）想起；（使）回忆
5531,exploit,v 利用，开发
5532,cartoon,n （报刊上的）漫画；连环画
5533,install,v 任命，使就（职），把……安插到（in）
5534,fantasy,n&v 空想，幻想
5535,jar,1 v 使震动，使摇动2 n （圆柱形、大口的）罐子，坛子，瓶子
5536,via,prep 凭藉，以……为媒介，通过（某种手段）
5537,boil,v 沸腾，达到沸点，开，滚，煮滚；汽化
5538,progress,n 前进，进行，发育，进化
5539,depress,1 v 压下，压低（声调等），放低（[opp]raise）2 v 使沮丧；使萧条
5540,inevitable,a 不可避免的，不可逃避的；必然的
5541,orchid,n （温室栽培种）兰，兰花
5542,rage,1 n [口]时兴东西2 v （战争）猛烈进行
5543,intact,a 未经触动的，未受损的，原封不动的
5544,conflict,n&v 冲突，矛盾
5545,inland,a 内地的，内陆的
5546,botanical,a 植物（学）的
5547,arch,n 拱门；弓形门  v 把……做成拱形；使弯做弓形
5548,distant,a 远的，远方的，远离的
5549,telegraph,n 电报；信号机
5550,boom,n （城市等的）急速发展；（物价等的）暴涨；（人口等的）激增
5551,gibbon,n 长臂猿
5552,suffer,1 v 遭受，蒙受；经受；忍受2 v 受害，受损失，受苦
5553,incorporate,v 使混合；使加入
5554,invertebrate,a&n 无脊椎动物（的）
5555,collaboration,n 合作
5556,insult,n&v 侮辱，凌辱
5557,vegetation,n （集合词）植物，植被
5558,entail,n&v 使蒙受，使产生，带来
5559,totality,n 完全，完备；全体，总数
5560,ready,1 a 已做好准备（预备）的2 a 现成的，现有的
5561,prolific,a 有生产力的；多产……的（of）
5562,strive,v 力求，努力；竞争，斗争；反抗
5563,sustenance,n 食物，营养；生计；支持（物）
5564,global,a 球面的，球状的，全球的，世界的
5565,clumsy,a 笨拙的；愚笨的
5566,symmetrical,a 对称的，匀称的，相称的，平衡的（[opp]asymmetrical）
5567,superheat,v 使过（度加）热
5568,concrete,1 n 混凝土2 a 具体的，实在的
5569,roof,n 屋顶，最高部，顶部
5570,recruit,v 招募（新兵），召集
5571,symbiosis,n 共生（现象），共栖
5572,feat,n 卓绝的手艺，技术，本领
5573,glassy,a 玻璃质的，玻璃状的
5574,brittle,a 易碎的，脆的；脆弱的；易损坏的
5575,trumpet,n 喇叭；小号
5576,windswept,a 暴露在风中的
5577,dealer,n 商人，……商
5578,dilemma,n 窘境，困境，进退两难
5579,radar,n 雷达，无线电探测器
5580,account for,证明，说明
5581,circuit,1 n [电]电路，线路；回路2 n 巡回，周游
5582,endow,v 捐赠
5583,summit,n 顶，绝顶；顶点
5584,marvelous,a 奇异的，不可思议的，奇怪的
5585,soup,n （浓）汤；浓汤般的东西
5586,occupy,v 占领，占据；侵占；占用，占有；占（时间、空间等）
5587,interfere,v 妨碍，打扰
5588,autonomy,n 自治；自治权
5589,optical,a 眼的；视觉的；视力的；帮助视力的；光学（上）的
5590,integral,a 完全的；缺一不可的，主要的
5591,resemble,v 像，类似，相似
5592,carnivore,n 食肉动物（[opp]herbivore）
5593,exempt,a&v 被免除（的），被豁免（的）（from）
5594,lip,n 嘴唇；唇状物
5595,touch,1 v 触，碰，摩，摸2 v 使开始，激起，触发3 n 修饰，添画，润色
5596,sparse,a 稀疏的；稀缺的；瘦小的（[opp]dense）
5597,antiquate,v 使变旧；使过时
5598,shade,1 n 朦胧色；浓淡；色调2 n 荫；阴处；树阴
5599,reserve,n 贮藏物，贮藏量，保留地，贮藏所  v 保留，储备（以备后用的）
5600,vinegar,n 醋
5601,orchestra,n 管弦乐；管弦乐队
5602,lathe,n 车床，镟床
5603,moral,a&n 道德（上的）（[opp]immoral）；精神（上的）（[opp]physical，practical）
5604,core,n 果心；地核；中心
5605,lure,v 引诱，诱惑  n 魅力；诱惑品，诱饵
5606,shift,n&v 变迁；变化；变换
5607,sharp,1 a 清晰的；轮廓鲜明的；明显的2 a 急剧的；激烈的；强烈的
5608,staff,n （全体）工作人员
5609,ascend,v 上升，登高
5610,embryo,a&n （[pl]embryos） 胚胎（的），胚（的）
5611,positive,a 明确的，积极的；建设性的；肯定的（[opp]negative）
5612,convince,v 使确信，说服，使承认
5613,plentiful,a 丰富的
5614,invade,v 侵入，侵略
5615,congress,n （美国）国会
5616,bleak,a 风吹雨打的，无遮蔽的
5617,persist,v 坚持，巩固（in），继续存在，存留
5618,conservative,a 保守的，守旧的
5619,corridor,n 走廊；通路
5620,geographic,a 地理学的，地理的
5621,stalk,n 茎，柄，秆，轴
5622,geometric,a 有几何图形的
5623,drip,n 水滴  v 滴下
5624,magical,a 不可思议的
5625,rural,a 乡下的，农村（风味）的（[opp]urban）；地方的；农业的
5626,virus,n 病毒
5627,mushroom,1 n （主指食用）蘑菇；蘑菇状物；蘑菇状烟云2 v 迅速增长
5628,tragedy,n 悲剧；惨剧，悲惨事件
5629,zone,n （地）带
5630,patron,n 赞助人，主顾
5631,fungus,n （[pl]funguses，fungi）真菌（包括霉菌、酵母菌和伞菌等）
5632,beast,n 动物，牛马，家畜
5633,modify,v 变更；修改；调节
5634,aluminum,n 铝
5635,toxic,a 有毒的；中毒的
5636,perpetuate,v 使用就存在（继续）；使不朽，使不灭
5637,horsepower,n 马力
5638,bare,a 裸的，裸体的；仅有的，极少的
5639,pamphlet,n 小册子；（时事问题等的）小册子刊物
5640,systematic,a 有系统的，成体系的
5641,volcano,n 火山
5642,innumerable,a 无数的，数不清的
5643,load,n 装载，胆子；负担；工作（负荷）量
5644,hinterland,n 内地，偏僻地区
5645,unaided,a 未受（无人）帮助的
5646,sail,1 n&v 扬帆行驶，航行；滑行，滑翔2 n 帆，帆形物
5647,motif,n （图案的）基本花纹，基本色彩；（艺术作品的）主题，动机，主旨
5648,replenish,v 装足，装满，补充（钱袋等）；加强（[opp]deplete  v 减少，损耗）
5649,wander,v 漫步；漫游
5650,outline,1 n 外形，轮廓  v 画轮廓；打草图，描略图2 v 概括地论述，略述  n [常pl]梗概，大纲；草稿；要点
5651,channel,1 n 水道，渠，沟2 v 为……开辟途径，引导
5652,compress,v 压缩，浓缩
5653,pregnant,a 怀孕的，有孕的，怀胎的
5654,abhor,v （-horred；-horring）憎恶，厌恶，嫌弃
5655,arctic,a&n 北极（的）；寒带（的）（[opp]antarctic）
5656,hover,v 翱翔，盘旋
5657,phenomenon,n 现象；事件
5658,spacious,a 广阔的，宽敞的（[opp]cramped）
5659,obsess,v 缠住，迷住；使着迷；使烦扰
5660,bow,n 弓；弓形物，琴弓
5661,soaring,a 翱翔的（鹰等）；高耸云霄的（尖塔等）
5662,cling,v 缠住，绕住
5663,publication,n 发行物，出版物，刊物
5664,coil,n （一）卷，（一）盘，（一）圈；[电]线圈  v 卷，盘绕
5665,furnace,n 炉子；熔炉  v 在炉中烧热（金属）
5666,arbitrary,a 任意的；强词夺理的
5667,ratify,v 批准，认可（代理商等）；追认
5668,bronze,n 青铜，古铜
5669,crucial,a 至关紧要的；决定性的
5670,astonishing,a 令人惊讶的
5671,grain,1 n 谷物，粮食2 n （木材、大理石等的）纹理
5672,transaction,n 交易；业务，事务
5673,stagecoach,n 公共马车，驿站马车
5674,glimpse,n 一瞥，瞥见
5675,fragment,n 碎屑，碎片
5676,reform,1 n&v 改革，改良，革新（制度、事业等）2 v 改过自新，矫正（品性等）
5677,hall,n 会馆，会场，会堂；展览厅
5678,fir,n 冷杉木，枞木
5679,probe,v （用探针）探查；探索
5680,admission,1 n 允许进入；许可入场（入学、入会）2 n 承认；首肯
5681,rush,1 n&v 向前猛进，冲，突进2 n 蜂拥而至；激增，猛长；繁忙
5682,scruple,n 顾虑；迟疑；犹豫
5683,definite,a 明确的；确定的
5684,enormous,a 巨大的，庞大的
5685,charcoal,n （木）炭
5686,staple,n 主要产物（商品）
5687,proposition,n 提议，建议；主张
5688,basic,a 基础的，基本的，根本的
5689,phrase,n 短语；格言，箴言
5690,interstellar,a 星际的
5691,glacial,a 冰的；冰状的
5692,lodge,n 小屋，帐篷
5693,obscure,a 不清楚的，含糊的  v 使不明显
5694,roll,1 v 滚转，旋转2 v 包卷，卷拢，卷捆，卷起3 v 波动，起伏
5695,terrestrial,1 a 地球（上）的；陆地的，陆生的，陆栖的2 a 人间的，现世的
5696,pole,n 极，极点，顶点
5697,seep,v 渗出；漏出；（观念等）渗入
5698,rebuild,v 重建，使复原，改造
5699,succeed,v 接连，继承，继续，接着……发生
5700,shale,n 页岩
5701,debris,n 碎片，破片；岩屑
5702,reside,v 居住；留驻；停留；存在
5703,portion,n 一部分，一份
5704,component,n 部分，成分
5705,stock,1 n 股份，股票2 n 库存品，存货，贮存；买进的货，进货
5706,irresistible,a 不可抗拒的
5707,rust,v 生锈  n 锈；铁锈
5708,structural,a 构造上的，结构上的，组织上的
5709,essence,n 本质（[opp]phenomenon）；精髓
