,vocal,meaning
2382,insipid,lacking in flavor; lacking interest; dull; Ex. insipid food/character
2383,insolence,impudent disrespect; haughtiness; ADJ. insolent; CF. haughty + rude
2384,insolvent,bankrupt; lacking money to pay; N. insolvency
2385,insomnia,wakefulness; inability to sleep
2386,insouciant,without concern or care; unconcerned; indifferent
2387,instigate,start; urge; provoke; incite; Ex. instigate a search/quarrel
2388,institute,organization for a special purpose; V: establish
2389,institution,"instituting; (building for the) organization; established custom, practice, or relationship in a society; mental hospital; Ex. institution of marriage"
2390,institutionalize,make into an institution; put or confine in an institution
2391,insubordination,disobedience; rebelliousness; ADJ. insubordinate
2392,insubstantial,lacking substance; insignificant; frail; immaterial
2393,insularity,narrow-mindedness; isolation; ADJ. insular: of an island; isolated; narrow- minded; CF. peninsula
2394,insuperable,insurmountable; unbeatable; Ex. insuperable difficulties
2395,insurgent,rebellious; N.
2396,insurmountable,overwhelming; unbeatable; insuperable
2397,insurrection,rebellion; uprising
2398,intangible,not able to be perceived by touch; vague
2399,integral,complete; necessary for completeness; Ex. integral part
2400,integrate,make whole; combine; make into one unit
2401,integrity,honesty; uprightness; wholeness; state of being whole and undivided; completeness
2402,intellect,higher mental powers; person of great intellectual ability
2403,intelligentsia,intellectuals; members of the educated elite (often used derogatorily)
2404,inter,bury; N. interment
2405,interdict,prohibit; forbid; N.
2406,interim,meantime; Ex. in the interim; ADJ. taking place during an interim; Ex. interim paper
2407,interjection,exclamation; Ex. ``Ouch''
2408,interloper,intruder; one who interferes
2409,intermediary,intermediate; acting as a mediator; N: mediator; go-between
2410,interminable,endless
2411,intermittent,periodic; on and off; stopping and starting at intervals
2412,internecine,mutually destructive
2413,interpolate,insert between
2414,interregnum,period between two successive reigns or governments
2415,interrogate,question closely; cross-examine; cross-question
2416,interstice,narrow space between things
2417,intervene,come between; interfere; Ex. intervened to prevent a fight; N. intervention
2418,intimate,hint; suggest; imply; ADJ: marked by close relationship; familiar; private; personal; Ex. intimate knowledge/thoughts in the diary; N: close friend or confidant; CF. intimacy
2419,intimidate,frighten; N. intimidation
2420,intolerant,not willing to accept ways of thinking different from one's own; CF. tolerant; CF. tolerate
2421,intoxicate,make drunk; stimulate or excite; Ex. intoxicated by all the money he might win
2422,intractable,unruly; difficult to manage; Ex. intractable problem/child
2423,intransigence,refusal of any compromise; stubbornness; ADJ. intransigent: uncompromising
2424,intrepid,fearless
2425,intrigue,make secret plans; plot; arouse the curiosity of; N: secret scheme; plot; secret love affair
2426,intrinsic,essential; inherent; built-in
2427,introspective,looking within oneself; N. introspection: self-examination
2428,introvert,one who is introspective or inclined to think more about oneself; ADJ. introverted
2429,intrude,put or force in without being asked; trespass; enter as an uninvited person; Ex. intrude one's own opinion into the report; CF. thrust in
2430,intuition,immediate insight; power of knowing without reasoning; ADJ. intuitive; V. intuit: know by intuition
2431,inundate,flood; overflow; submerge; cover completely; Ex. inundated with work
2432,inured,accustomed; hardened; Ex. inured to the Alaskan cold; V. inure: make used to something undesirable; harden; CF. unfeeling
2433,invalid,one incapacitated(disabled) by a chronic illness; ADJ: incapacitated by illness; not valid; null; V: allow to leave (a military force) because of ill- health
2434,invalidate,weaken; destroy; make invalid; nullify
2435,invective,abuse
2436,inveigh,denounce; utter censure or invective; Ex. inveigh against the evils of drink
2437,inveigle,deceive; lead astray by deception; wheedle(cajole); Ex. inveigle her into joining the club; CF. interest dishonestly
2438,inverse,opposite
2439,invert,turn upside down or inside out; reverse the position or condition of
2440,inveterate,deep-rooted; habitual; CF. grow old
2441,invidious,designed to create ill will or envy; tending to rouse ill will or envy; Ex. invidious comparison
2442,invincible,unconquerable
2443,inviolable,"secure from corruption, attack, or violation(or profanation); unassailable; Ex. inviolable oath/rights; N. inviolability"
2444,invocation,prayer for help (used in invoking); calling upon as a reference or support; act of invoking
2445,invoke,call and bring into use (a right or law); call on/upon (a higher power or god) for help; ask for; beg for; conjure (a spirit); Ex. invoke the veto power; Ex. invoke one's advisor/God
2446,invulnerable,incapable of injury; impossible to damage or injure
2447,iota,very small quantity
2448,irascible,irritable; easily angered
2449,irate,angry; CF. ire: anger; wrath
2450,iridescent,exhibiting rainbowlike colors; Ex. iridescent oil slick; N. iridescence
2451,irksome,annoying; tedious; V. irk: annoy
2452,ironic,expressing irony; occurring in an unexpected and contrary manner
2453,irony,hidden sarcasm or satire; use of words that seem to mean the opposite of what they actually mean; use of words to convey the opposite of their literal meaning
2454,irreconcilable,impossible to reconcile; incompatible; not able to be resolved
2455,irrefutable,indisputable; incontrovertible; undeniable
2456,irrelevant,not applicable; unrelated
2457,irremediable,incurable; uncorrectable; impossible to remedy
2458,irreparable,not able to be corrected or repaired; impossible to repair
2459,irrepressible,unable to be restrained or held back; impossible to hold back
2460,irreproachable,beyond reproach; blameless; impeccable; Ex. irreproachable conduct
2461,irresolute,uncertain how to act; weak; lacking in resolution; indecisive; N. irresolution
2462,irretrievable,impossible to recover or regain; CF. retrieve
2463,irreverence,lack of proper respect or reverence; ADJ. irreverent
2464,irrevocable,unalterable; irreversible; impossible to revoke
2465,isotope,varying from of an element
2466,isthmus,narrow neck of land connecting two larger bodies of land
2467,itinerant,wandering; traveling from place to place (to perform work); Ex. itinerant preacher
2468,itinerary,plan of a trip; record of a trip
2469,jabber,chatter rapidly or unintelligibly
2470,jaded,tired or uninterested by surfeit; fatigued; surfeited; worn out; wearied; Ex. jaded appetite
2471,jargon,language used by special group; technical terminology; gibberish; nonsensical or incoherent talk
2472,jaundice,"medical condition in which the skin, the white part of the eyes, etc. turn yellow; V: affect with jaundice; affect with prejudice, envy, or hostility; bias"
2473,jaundiced,"yellowed; prejudiced (envious, hostile, or resentful) from long and disappointing experience of human affairs; Ex. with a jaundiced eye"
2474,jaunt,trip; short journey
2475,jaunty,cheerful and pleased with life; lighthearted; animated; easy and carefree; dapper in appearance; Ex. jaunty person/hat
2476,jeopardize,endanger; imperil; put at risk; N. jeopardy: danger
2477,jest,playful remark or act; V. act or speak playfully
2478,jetsam,things thrown from a ship (to lighten the ship)
2479,jettison,throw overboard (from a ship or plane)
2480,jibe,agree; be in harmony with; gibe
2481,jingoist,extremely aggressive and militant patriot; warlike chauvinist; N. jingoism: extreme nationalism
2482,jocose,given to(having a tendency of) joking
2483,jocular,said or done in jest or playfully; marked by joking
2484,jocund,merry
2485,jollity,gaiety; cheerfulness; ADJ. jolly: merry; gay
2486,jostle,shove; bump; push against (someone) rather roughly; Ex. jostled by the crowds
2487,jovial,good-natured; merry; cheerful
2488,jubilation,rejoicing; great joy
2489,judiciary,judicial branch of government
2490,judicious,sound on judgment; wise
2491,jug,pitcher; container for holding liquids
2492,juggernaut,irresistible crushing force; overwhelming advancing force that crushes everything in its path
2493,jumble,mix in a confused way
2494,juncture,crisis; point in time; joining point; joint; act of joining
2495,junket,trip especially one taken for pleasure by an official at public expense
2496,junta,group of persons joined in political intrigue; cabal; group of military officers ruling a country after seizing power (by force)
2497,juridical,of the law and its administration; CF. judicial: of courts of law; CF. judiciary
2498,jurisdiction,right and power to apply the law; authority
2499,jurisprudence,science of law
2500,juxtapose,place side by side; CF. next
2501,jabber,chatter rapidly or unintelligibly
2502,jaded,tired or uninterested by surfeit; fatigued; surfeited; worn out; wearied; Ex. jaded appetite
2503,jargon,language used by special group; technical terminology; gibberish; nonsensical or incoherent talk
2504,jaundice,"medical condition in which the skin, the white part of the eyes, etc. turn yellow; V: affect with jaundice; affect with prejudice, envy, or hostility; bias"
2505,jaundiced,"yellowed; prejudiced (envious, hostile, or resentful) from long and disappointing experience of human affairs; Ex. with a jaundiced eye"
2506,jaunt,trip; short journey
2507,jaunty,cheerful and pleased with life; lighthearted; animated; easy and carefree; dapper in appearance; Ex. jaunty person/hat
2508,jeopardize,endanger; imperil; put at risk; N. jeopardy: danger
2509,jest,playful remark or act; V. act or speak playfully
2510,jetsam,things thrown from a ship (to lighten the ship)
2511,jettison,throw overboard (from a ship or plane)
2512,jibe,agree; be in harmony with; gibe
2513,jingoist,extremely aggressive and militant patriot; warlike chauvinist; N. jingoism: extreme nationalism
2514,jocose,given to(having a tendency of) joking
2515,jocular,said or done in jest or playfully; marked by joking
2516,jocund,merry
2517,jollity,gaiety; cheerfulness; ADJ. jolly: merry; gay
2518,jostle,shove; bump; push against (someone) rather roughly; Ex. jostled by the crowds
2519,jovial,good-natured; merry; cheerful
2520,jubilation,rejoicing; great joy
2521,judiciary,judicial branch of government
2522,judicious,sound on judgment; wise
2523,jug,pitcher; container for holding liquids
2524,juggernaut,irresistible crushing force; overwhelming advancing force that crushes everything in its path
2525,jumble,mix in a confused way
2526,juncture,crisis; point in time; joining point; joint; act of joining
2527,junket,trip especially one taken for pleasure by an official at public expense
2528,junta,group of persons joined in political intrigue; cabal; group of military officers ruling a country after seizing power (by force)
2529,juridical,of the law and its administration; CF. judicial: of courts of law; CF. judiciary
2530,jurisdiction,right and power to apply the law; authority
2531,jurisprudence,science of law
2532,juxtapose,place side by side; CF. next
2533,ken,range of knowledge; Ex. beyond one's ken
2534,kernel,central or vital part; core; whole seed (as of corn)
2535,killjoy,grouch; spoilsport; one who intentionally spoils the pleasure of others
2536,kindle,start a fire; ignite; inspire; arouse
2537,kindred,related; belonging to the same group; similar in nature or character; Ex. kindred languages; N: relative; kin; kinship
2538,kinetic,producing motion; of motion
2539,kismet,fate; destiny; Ex. Kismet is the Arabic word for fate.
2540,kleptomaniac,person who has a compulsive desire to steal
2541,knack,special talent; art
2542,knave,untrustworthy person; rogue; scoundrel; jack; N. knavery
2543,knead,mix; work dough; mix and work into a uniform mass (with the hands); Ex. knead dough
2544,kneel,go down on one's knee(s)
2545,knell,"tolling of a bell especially to indicate a funeral, disaster, etc.; sound of the funeral bell; V."
2546,knit,contract into wrinkles; grow together; join together closely; make (a fabric or garment) by interwining yarn or thread; Ex. knit the brow; Ex. The bones should knit together in a few weeks.
2547,knoll,little round hill; hillock
2548,knotty,intricate; difficult; tangled; CF. knot
2549,kudos,honor; glory; acclaim or praise for exceptional achievement
2550,laborious,demanding much work or care; tedious
2551,labyrinth,maze
2552,lace,cord used to draw and tie together two opposite edges (as of a shoe); delicate fabric made of fine threads; V: draw together by tying a lace
2553,laceration,torn ragged wound; V. lacerate: tear (the skin as with broken glass); wound
2554,lachrymose,producing tears; tearful
2555,lackadaisical,lacking interest or effort; lacking purpose or zest; lazy; halfhearted; languid
2556,lackluster,lacking luster(shine; gloss); dull
2557,laconic,brief and to the point; using few words; terse
2558,lag,move or develop more slowly; straggle; Ex. lag behind the rest; N.
2559,laggard,slow; sluggish; N: one who lags; straggler
2560,lagoon,shallow body of water or lake near a sea; lake separated from a sea by sandbars or coral reefs
2561,laity,laypersons; laymen; persons not connected with the clergy
2562,lament,grieve; express sorrow; N. lamentation
2563,lampoon,"ridicule; N: written attack ridiculing or satirizing a person, group, or institution"
2564,lance,pierce with a lance; cut into; N: spearlike weapon
2565,lancet,small surgical tool for making incisions
2566,languid,lacking energy or vitality; weary; sluggish; listless
2567,languish,lose animation or strength
2568,languor,lack of physical or mental energy; lassitude; depression
2569,lank,"long and thin; Ex. Lank, gaunt, Abraham Lincoln"
2570,lap,take in food or drink with one's tongue; splash gently; Ex. waves lapping the shore; N: front area from the waist to the knees of a seated person
2571,larceny,theft; Ex. petit larceny
2572,larder,pantry; place where food is kept
2573,largess,generous gift (given to people who do not have enough)
2574,lascivious,lustful
2575,lassitude,languor; weariness; listlessness
2576,latch,fastening or lock consisting of a movable bar that fits into a notch; V: close with a latch
2577,latent,present but not yet noticeable or active; dormant; hidden; N. latency; CF. potential
2578,lateral,of or coming from the side
2579,latitude,freedom from narrow limitations
2580,laud,praise; N. ADJ. laudable: praiseworthy; ADJ. laudatory: expressing praise
2581,lavish,liberal; wasteful; generous or wasteful in giving or using; abundant; profuse; great; Ex. decorated lavishly; V. give in abundance
2582,lax,careless; negligent; not paying enough attention; Ex. lax service
2583,layman,man who is not a cleric; man who is nonprofessional
2584,leash,restraining rope fastened to the collar of an animal (to control it); Ex. a dog on a leash
2585,leaven,"add leaven to; cause to rise or grow lighter; enliven; N: agent, such as yeast, that causes dough to rise (by fermentation); element that lightens or enlivens"
2586,leave-taking,farewell or departure
2587,lechery,gross lewdness; lustfulness; ADJ. lecherous; N. lecher: lecherous man
2588,lectern,reading desk or stand for a public speaker
2589,leery,(of someone) suspicious; wary; cautious
2590,leeway,room to move; margin; latitude; Ex. leeway for the deadline
2591,legacy,gift made by a will; something handed down from an ancestor
2592,legato,(of music) played smoothly
2593,legend,explanatory list of symbols on a map
2594,legerdemain,sleight(dexterity) of hand; CF. light of hand
2595,legislature,legislating branch of government; CF. legislate: make laws
2596,leniency,mildness; permissiveness; ADJ. lenient: not severe in judgment or punishment
2597,leonine,like a lion
2598,lethal,deadly
2599,lethargic,drowsy; dull; N. lethargy: state of sluggishness and inactivity
2600,levee,earthen or stone embankment to prevent flooding; CF. raise
2601,levitate,rise and float in the air (especially by magical means); CF. light
2602,levity,lack of seriousness or steadiness; frivolity; lightness of manner
2603,levy,impose (a fine); collect (a payment); impose or collect (a tax); Ex. levy a tax on tobacco
2604,lewd,lustful
2605,lexicographer,compiler of a dictionary; CF. lexicography: work of compiling a dictionary
2606,lexicon,dictionary
2607,liability,drawback; handicap; debts; obligation; responsibility; condition of being liable; ADJ. liable: likely; responsible (for paying)
2608,liaison,contact that keeps parties in communication; communication between groups; one that maintains communication; go-between; secret love affair; V. liaise: keep a connection
2609,libel,defamatory written statement; act of writing something that smears a person's character; V. ADJ. libelous
2610,libertine,debauched person; dissolute or licentious person; rou\'e; CF. free
2611,libidinous,lustful
2612,libido,psychic and emotional energy or urges behind human activity; sexual desire
2613,libretto,text of an opera or oratorio; CF. book
2614,license,official or legal permission; latitude of action or speech; excessive freedom that causes harm or damage; V.
2615,licentious,amoral; lewd and lascivious; unrestrained
2616,lien,legal claim or right on a property
2617,ligneous,like wood
2618,lilliputian,extremely small; CF. Lilliput in Gulliver's Travels
2619,limber,flexible; supple; pliable; V.
2620,limbo,region near heaven or hell where certain souls are kept; prison (slang); Ex.
2621,limn,draw; outline; describe; CF. line ?
2622,limp,walk lamely; ADJ: lacking firmness; weak
2623,limpid,crystal clear
2624,lineage,descent; ancestry
2625,lineaments,features especially of the face; distinctive shape or contour of the face; CF. line
2626,linger,loiter or dawdle; be slow in leaving; delay going; continue or persist; be slow to disappear; Ex. The smell lingered for days.
2627,linguistic,pertaining to language
2628,lionize,treat (a person) as a celebrity
2629,liquidate,settle accounts; pay off (a debt); clear up; eliminate; kill or abolish
2630,list,tilt (as of a ship); lean over (to one side)
2631,listless,lacking in spirit or energy; languid
2632,litany,supplicatory prayer; prayer in which the priest calls out and the people replies in the same words
2633,lithe,flexible; supple; CF. limber
2634,litigation,lawsuit; N. litigant: one party in a lawsuit; V. litigate
2635,litotes,understatement for emphasis; Ex. ``not bad(=pretty good)''
2636,litter,waste material thrown away (as bits of paper scattered untidily); V: cover untidily with scattered litter
2637,livid,lead-colored; black and blue (as from a bruise); ashen; enraged; extremely angry
2638,loath,reluctant; unwilling; disinclined; Ex. Romeo and Juliet were both loath for him to go.
2639,loathe,detest; ADJ. loathsome: arousing loathing; offensive; Ex. loathsome smell
2640,lode,metal-bearing vein(long deposit of an ore)
2641,loft,room or space under the roof; attic
2642,lofty,very high
2643,log,record of a voyage or flight; record of day-to-day activities; section of a trunk; V.
2644,loiter,hang about/around; stand idly about; linger
2645,loll,lounge about
2646,longevity,long life; long duration
2647,lookout,act of keeping watch; high place commanding a wide view; person who keeps watch
2648,loom,"appear or take shape (usually in an enlarged, indistinct, or distorted form); Ex. The shadow of the gallows loomed threateningly. N: apparatus for making thread into cloth"
2649,lope,gallop slowly
2650,lopsided,heavier or larger on one side than the other; Ex. lopsided way of walking
2651,loquacious,talkative; N. loquacity
2652,lot,object used in making a determination at random; fate; piece of land
2653,lottery,contest in which winners are selected in a drawing of lots
2654,lounge,"stand, sit, or lie in a lazy, relaxed way"
2655,lout,clumsy person; ADJ. loutish; CF. from countrysides ?
2656,low,moo; make the sound of a cow
2657,lubricate,apply a lubricant to; N. lubricant: substance that reduces friction
2658,lucid,easily understood; clear; intelligible; N. lucidity
2659,lucrative,profitable; producing wealth
2660,lucre,money; profit; Ex. filthy lucre
2661,ludicrous,laughable; ridiculous; trifling
2662,lugubrious,mournful; sorrowful
2663,lull,moment of calm; period of reduced activity; Ex. a lull in the rain; V: cause to become less active; cause to sleep or rest; Ex. lull the opponents into a false sense of security; CF. lullaby
2664,lumber,move heavily or clumsily; Ex. The bear lumbered through the woods; N: timber
2665,lumen,unit of light energy (one candle's worth)
2666,luminary,celebrity (in a specific field); dignitary; object that gives light (as a celestial body)
2667,luminous,shining (esp. in the dark); issuing light; Ex. luminous paint/road signs
2668,lunar,pertaining to the moon
2669,lunatic,insane; Ex. lunatic asylum
2670,lurid,wild; sensational; graphic; gruesome; horrible; Ex. lurid details of the murder
2671,lurk,stealthily lie in waiting; slink; exist unperceived
2672,luscious,pleasing to taste or smell; delicious
2673,lush,(of a plant or grass) growing very well
2674,lust,intense sexual desire; intense eagerness; V.
2675,luster,shine; gloss (of a polished surface)
2676,lustrous,shining; brilliant; Ex. lustrous hair
2677,luxuriant,"abundant; growing healthily and in large amounts; excessively ornate; rich and splendid; fertile; Ex. luxuriant forests/prose; CF. luxurious, luxuriate"
2678,luxuriate,take pleasure in great comfort
2679,mace,ceremonial staff used as a symbol of authority; clublike medieval weapon
2680,macerate,soften by soaking in liquid; waste away; Ex. macerate powdered wood to make paper
2681,Machiavellian,"crafty; double-dealing; of the political doctrine of Machiavelli, which holds that craft and deceit are justified in pursuing political power"
2682,machinations,evil schemes or plots; schemes or plots to achieve an evil end; V. machinate
2683,maculated,spotted; stained; CF. immaculate
2684,madrigal,pastoral song; song for several singers without instruments
2685,maelstrom,violent whirlpool; violent or tublent situation; CF. stream
2686,magisterial,authoritative; imperious; commanding; of a magistrate; Ex. magisterial study of Roman law; Ex. magisterial manner
2687,magistrate,official with power to administer the law
2688,magnanimity,generosity; ADJ. magnanimous: generous
2689,magnate,person of prominence or influence; powerful or influential person (in business or industry); Ex. oil magnate
2690,magniloquent,boastful; pompous
2691,magnitude,greatness (in size or extent); extent
2692,maim,mutilate; injure lastingly; disable; cripple; Ex. maimed for life
2693,makeshift,temporary expedient or substitute (in the case of urgent need); Ex. makeshift shelter
2694,maladroit,clumsy; not skillful; awkward; bungling
2695,malady,illness
2696,malaise,uneasiness; vague feeling of ill health (without any particular pain or appearance of disease)
2697,malapropism,comic misuse of a word; CF. Mrs. Malaprop
2698,malapropos,inappropriate; ADV.
2699,malcontent,person dissatisfied with existing state of affairs; discontented person; ADJ: discontented
2700,malediction,curse
2701,malefactor,evildoer; criminal
2702,maleficient,doing evil; N. maleficience
2703,malevolent,wishing evil; exhibiting ill will; N. malevolence
2704,malfeasance,wrongdoing; misconduct (by a public official)
2705,malicious,hateful; spiteful; expressing malice; N. malice: desire to harm others; spite
2706,malign,speak evil of; bad-mouth(criticize spitefully); defame; ADJ: harmful; Ex. malign influence
2707,malignant,tending to cause death; highly injurious; aggressively malevolent; Ex. malignant tumor
2708,malingerer,one who feigns illness to escape duty; V. malinger: feign illness to avoid work
2709,malleable,(of a metal) capable of being shaped by pounding(beating); pliable; (of someone) impressionable(easily influenced); easily controlled; tractable
2710,malodorous,foul-smelling
2711,mammal,vertebrate animal whose female suckles its young
2712,mammoth,gigantic; enormous
2713,manacle,restrain; handcuff; N.
2714,mandate,order; charge; authoritative command; power to govern another country; power to given to a government; region under administration; V: give a mandate to; place under a mandate; Ex. mandated territory
2715,mandatory,obligatory; compulsory; of a mandate
2716,maneuver(manoeuver),strategic military or naval movement (done for training purposes); carefully planned process; stratagem; V: carry out a military maneuver; use maneuvers in gaining an end
2717,mange,skin disease (esp. of domestic animals) marked by loss of hair
2718,mangle,tear or cut to pieces; mutilate or disfigure; Ex. badly mangled bodies
2719,mangy,shabby; wretched; suffering from mange; of bad appearance
2720,maniacal,raging mad; insane; N. maniac: insane person; CF. mania: disorder of the mind; intense enthusiasm
2721,manifest,evident; visible; obvious; V: show plainly
2722,manifestation,outward demonstration; manifesting; indication of the presence of something; Ex. manifestation of his pronounced musical bent
2723,manifesto,public declaration of principles; statement of policy
2724,manifold,many in number or kind; numerous; varied
2725,manipulate,"operate with one's hands; control or play upon (people, forces, etc.) artfully; maneuver; Ex. how to manipulate publicity and men; ADJ. manipulative"
2726,mannered,affected; not natural; Ex. mannered way of speech
2727,mannerism,distinctive behavioral trait; affected style in art (according to a set of styles)
2728,mantle,loose sleeveless outer garment; cloak; something that covers or envelops; the layer of the earth between the crust and the core
2729,manumit,emancipate; free from slavery or bondage
2730,mar,spoil the appearance of
2731,maraud,move in search of plunder; Ex. marauding army
2732,margin,border; room; allowance beyond what is needed; Ex. margin of safety
2733,marginal,of a margin; barely within a limit; Ex. marginal effect/writing ability
2734,marital,pertaining to marriage
2735,maritime,bordering on(adjacent to) the sea; nautical; of the ships or the sea; Ex. Maritime Provinces
2736,marked,noticeable; targeted for vengeance or attack; Ex. marked improvement/man
2737,maroon,leave helpless on a deserted island or coast; ADJ. red brown
2738,marred,damaged; disfigured; V. mar: spoil; disfigure
2739,marrow,soft fatty tissue that fills most bone cavities and is the source of blood cells
2740,marshal,put in order; guide ceremoniously to the correct place; Ex. marshal the children into the museum; N: military officer; official
2741,marsupial,"one of a family of mammals that nurse their offspring in a pouch(pocket of skin or leather); CF. kangaroo, opossum, wombat"
2742,martial,warlike; of war; Ex. martial art/law
2743,martinet,strict disciplinarian; person who demands total obedience to rules and orders; CF. Jean Martinet
2744,martyr,one who voluntarily suffers death for his or her religion or cause; great sufferer; Ex. martyr to his rheumatism
2745,mash,crush into mash; convert into mash; N: mixture of ground grain and nutrients fed to livestock and fowl
2746,masochist,person who enjoys his own pain; CF. masochism
2747,mason,one who builds or works with stone or brick; N. masonry: work of a mason; stonework or brickwork
2748,masquerade,wear a mask or disguise; pretend; N: costume party or ball at which masks are worn; pretense; disguise
2749,mass,Christian religious ceremony; CF. Mass: ceremony of the Eucharist
2750,masticate,chew
2751,mat,not shiny; matte; having a dull finish; N: flat piece of material used as a floor covering; V.
2752,materialism,preoccupation with physical comforts and things; excessive regard for worldly concerns (rather than spiritual matters)
2753,maternal,motherly; N. maternity: motherhood
2754,matin\'ee(matinee),dramatic or musical performance given in the afternoon
2755,matriarch,woman who rules a family or larger social group
2756,matriculate,enroll (in college or graduate school); CF. matrix
2757,matrimony,state of being married
2758,matrix,point of origin; array of numbers or algebraic symbols; mold or die; Ex. the matrix of Western civilization
2759,maudlin,effusively sentimental
2760,maul,handle roughly; batter; injure by beating; Ex. mauled by his overexcited fans; N: heavy long-handled hammer
2761,mausoleum,monumental tomb; large stately tomb; CF. Mausolos
2762,mauve,pale purple
2763,maverick,rebel; nonconformist (in a group)
2764,mawkish,mushy(sentimental) and gushy; icky-sticky sentimental; excessively and objectionably sentimental
2765,maxim,proverb; truth pithily stated
2766,mayhem,injury to body; crime of willfully maiming or crippling a person; violent disorder; Ex. mayhem in the zoo; CF. maim
2767,meager,scanty; inadequate
2768,mealymouthed,indirect in speech (when something unpleasant must be said); hypocritical; evasive
2769,meander,wind or turn in its course; follow a winding or turning course; move aimlessly and idly
2770,meddlesome,interfering; V. meddle: interfere
2771,mediate,settle a dispute through the services of an outsider; act as an intermediary; produce by mediating; Ex. mediate a cease-fire
2772,mediocre,ordinary; commonplace; neither good nor bad
2773,meditation,reflection; thought; V. meditate
2774,medium,element that is a creature's natural environment; nutrient setting in which microorganisms are cultivated; appropriate occupation or means of expression; channel of communication; compromise; middle position between extremes; intervening substan
2775,medley,mixture
2776,meek,submissive; patient and long-suffering
2777,megalomania,"mania for doing grandiose things; mental disorder characterized by delusions of wealth, power, or importance"
2778,melancholy,gloomy; morose; blue; N. ADJ. melancholic; CF. melancholia
2779,melee,fight
2780,mellifluous,(of words or a voice) sweetly or smoothly flowing; melodious; having a pleasant tune
2781,memento,token; reminder of the past; keepsake; Ex. memento of your visit
2782,memoir,memoirs; autobiography; biography
2783,memorial,"something, such as a monument or holiday, intended to honor the memory of a person or event; ADJ: commemorative"
2784,memorialize,commemorate
2785,menace,threat; V: threaten
2786,menagerie,collection of wild animals on exhibition; zoo
2787,mendacious,lying; habitually dishonest; N. mendacity
2788,mendicant,beggar; ADJ: living as a beggar
2789,menial,suitable for servants; lowly; mean; N: someone who does menial work (esp. servant in a house)
2790,mentor,counselor; teacher
2791,mercantile,concerning trade or merchants
2792,mercenary,motivated solely by money or gain; N.
2793,mercurial,capricious; quick and changing; fickle; containing the element mercury; Ex. mercurial temper; CF. mood
2794,meretricious,flashy; tawdry; attractive on the surface but of no real value; Ex. metericious argument/jewel; CF. prostitute
2795,merger,combination (of two business corporations); act of merging
2796,merit,deserve; ADJ. meritorious: deserving reward or praise
2797,mesmerize,hypnotize; N. mesmerism; CF. Franz Mesmer
2798,metallurgical,pertaining to the art of removing metals from ores; N. metallurgy: science that deals with extracting metals from ores
2799,metamorphosis,change of form; Ex. metamorphosis of caterpillar to butterfly; V. metamorphose: change by metamorphosis
2800,metaphor,implied comparison; CF. simile
2801,metaphysical,pertaining to speculative philosophy; of metaphysics; N. metaphysics: branch of philosophy that examines the nature of reality
2802,mete,measure; distribute; administer; Ex. mete out justice/punishment
2803,meteoric,"like a meteor; swift; momentarily brilliant; Ex. meteoric rise to fame;
N. meteor"
2804,meter,arrangement of words in the form of poetry (by accentual rhythm)
2805,methodical,systematic; N. method: systematic method of procedure
2806,meticulous,excessively careful (with great attention to detail); painstaking; scrupulous
2807,metrical,metric; written in the form of poetry; Ex. metrical translation of Homer
2808,metropolis,large city
2809,mettle,courage (to continue bravely in spite of difficulties); spirit; ADJ. mettlesome
2810,miasma,swamp gas; heavy vaporous atmosphere often emanating from decaying matter; pervasive corrupting influence; noxious atmosphere or influence
2811,microcosm,small representative world; world in miniature; Ex. microcosm of English society
2812,migrant,changing its habitat; wandering; Ex. migrant birds/workers; N: one that migrates
2813,migratory,wandering; V. migrate: move from one region and settle in another; move periodically from one region to another
2814,milieu,social environment; means of expression; Ex. feel out of one's milieu; Ex. His proper milieu is watercolor.
2815,militant,combative; bellicose; N.
2816,militate,work against; Ex. militate against the chances of promotion; CF. serve as a soldier
2817,militia,army composed of ordinary citizens rather than professional soldiers
2818,millennium,thousand-year period (as in the New Testament); hoped-for period of happiness and prosperity
2819,mime,pantomime(act without dialogue); mimicry; mimer; V: mimic; pantomime
2820,mimicry,imitation
2821,minatory,menacing; threatening
2822,mincing,"affectedly dainty(delicate); V. mince: cut (esp. meat) into very small pieces; walk with exaggerated primness; walk in an unnatural way, taking little short steps; Ex. The actor minced across the stage; CF. mincemeat; CF. mincer"
2823,mingle,mix together in close association
2824,miniature,small model; small painting; ADJ: small
2825,minion,servile dependent; obsequious follower
2826,minuscule(miniscule),extremely small
2827,minute,extremely small; CF. minutes: official record of the proceedings at a meeting
2828,minutiae,petty or trivial details; CF. minutia
2829,mirage,unreal reflection; optical illusion
2830,mire,entangle; stick in swampy ground; stick or sink in mire; N: bog; deep mud; Ex. sucked deeper into the mire
2831,mirth,merriment; laughter
2832,misadventure,mischance; ill luck; Ex. death by misadventure
2833,misanthrope,one who hates mankind; misanthropist
2834,misapprehension,error; misunderstanding; V. misapprehend
2835,miscellaneous,made up of a variety of parts
2836,miscellany,mixture of writings on various subjects; collection of various items
2837,mischance,ill luck
2838,mischief,behavior (of children) causing trouble with no serious harm; damage; harm; Ex. mischief to the crops; ADJ. mischievous: causing mischief; playfully troublesome
2839,misconduct,immoral behavior; bad management; V.
2840,misconstrue,interpret incorrectly; misinterpret; misjudge
